order_id,date,region,product,channel,quantity,unit_price,discount_pct,customer_id,revenue
ORD-000048,2022-10-10 11:00:00,South,Service-Pro,Direct,14.0,877.83,0.372,CUST-0731,7717.88
ORD-000049,2022-11-21 07:00:00,West,Widget-B,Direct,42.0,656.08,0.096,CUST-0986,24910.05
ORD-000050,2022-11-13 14:00:00,South,Widget-A,Retail,38.0,326.59,0.033,CUST-0148,12000.88
ORD-000051,2022-03-23 02:00:00,West,Widget-B,Partner,17.0,970.63,0.03,CUST-0548,16005.69
ORD-000052,2022-06-01 15:00:00,West,Widget-B,Retail,16.0,506.08,0.029,CUST-0266,7862.46
ORD-000053,2022-07-14 11:00:00,East,Bundle-2,Retail,18.0,18.02,0.14,CUST-0497,278.95
ORD-000054,2022-07-27 09:00:00,East,Widget-B,Partner,6.0,16.09,0.05,CUST-0257,91.71
ORD-000055,2022-01-19 06:00:00,South,Widget-B,Retail,8.0,941.59,0.162,CUST-0196,6312.42
ORD-000056,2022-08-16 17:00:00,West,Bundle-1,Online,49.0,288.36,0.302,CUST-0519,9862.49
ORD-000057,2022-03-06 06:00:00,East,Bundle-2,Partner,34.0,813.93,0.119,CUST-0420,24380.46
ORD-000058,2022-11-06 17:00:00,East,Widget-B,Retail,34.0,53.11,0.192,CUST-0766,1459.04
ORD-000059,2022-10-12 14:00:00,North,Service-Lite,Partner,14.0,155.44,0.051,CUST-0498,2065.18
ORD-000060,2023-01-20 09:00:00,North,Service-Pro,Retail,42.0,858.2,0.279,CUST-0603,25988.01
ORD-000061,2022-11-07 07:00:00,North,Service-Pro,Direct,9.0,994.14,0.127,CUST-0714,7810.96
ORD-000062,2022-06-02 18:00:00,Central,Gadget-X,Direct,48.0,61.39,0.054,CUST-0055,2787.6
ORD-000063,2023-02-08 03:00:00,Central,Bundle-1,Retail,25.0,175.95,0.382,CUST-0450,2718.43
ORD-000064,2022-06-21 04:00:00,North,Bundle-2,Partner,17.0,725.67,0.308,CUST-0525,8536.78
ORD-000065,2022-05-16 18:00:00,North,Service-Lite,Online,37.0,534.2,0.261,CUST-0635,14606.63
ORD-000066,2023-01-13 07:00:00,West,Bundle-2,Direct,21.0,411.9,0.289,CUST-0040,6150.08
ORD-000067,2022-06-04 08:00:00,East,Widget-A,Online,14.0,202.51,0.17,CUST-0102,2353.17
ORD-000068,2022-02-01 19:00:00,South,Service-Lite,Direct,34.0,945.97,0.119,CUST-0849,28335.59
ORD-000069,2022-07-15 15:00:00,West,Bundle-2,Direct,36.0,180.54,0.2,CUST-0764,
ORD-000070,2022-11-28 12:00:00,South,Service-Pro,Online,30.0,272.59,0.33,CUST-0421,5479.06
ORD-000071,2022-03-20 22:00:00,North,Bundle-2,Online,23.0,331.05,0.386,CUST-0004,4675.09
ORD-000072,2022-07-12 21:00:00,South,Gadget-X,Partner,17.0,147.19,0.242,CUST-0259,1896.69
ORD-000073,2022-02-24 03:00:00,Central,Bundle-2,Direct,20.0,540.86,0.151,CUST-0642,9183.8
ORD-000074,2022-10-14 00:00:00,West,Bundle-2,Partner,43.0,347.9,0.287,CUST-0680,10666.27
ORD-000075,2022-07-18 05:00:00,North,Service-Pro,Online,18.0,611.76,0.279,CUST-0826,7939.42
ORD-000076,2022-05-18 13:00:00,East,Service-Lite,Partner,48.0,374.17,0.099,CUST-0552,16182.1
ORD-000077,2022-04-05 13:00:00,Central,Service-Pro,Retail,8.0,125.25,0.174,CUST-0767,827.65
ORD-000078,2022-08-24 04:00:00,Central,Gadget-X,Direct,8.0,873.86,0.054,CUST-0236,6613.37
ORD-000079,2022-10-07 02:00:00,West,Service-Pro,Direct,17.0,514.55,0.161,CUST-0148,7339.03
ORD-000080,2023-01-27 19:00:00,North,Bundle-2,Direct,1.0,328.62,0.305,CUST-0336,228.39
ORD-000081,2022-07-02 03:00:00,South,Widget-A,Retail,44.0,26.19,0.126,CUST-0844,1007.16
ORD-000082,2022-03-08 22:00:00,South,Widget-B,Retail,17.0,601.86,0.253,CUST-0886,7643.02
ORD-000083,2022-12-13 22:00:00,North,Gadget-Y,Direct,6.0,784.67,0.131,CUST-0080,4091.27
ORD-000084,2022-09-20 09:00:00,North,Gadget-X,Online,31.0,653.55,0.059,CUST-0196,19064.71
ORD-000085,2022-10-19 18:00:00,South,Service-Pro,Online,47.0,789.83,0.297,CUST-0067,26096.77
ORD-000086,2022-02-10 12:00:00,East,Gadget-X,Online,49.0,163.43,0.236,CUST-0764,6118.17
ORD-000087,2022-05-11 03:00:00,South,Service-Lite,Partner,6.0,971.98,0.33,CUST-0822,3907.36
ORD-000088,2022-11-16 22:00:00,East,Widget-A,Online,39.0,219.21,0.272,CUST-0927,6223.81
ORD-000089,2022-12-13 18:00:00,South,Gadget-X,Partner,18.0,274.1,0.327,CUST-0183,3320.45
ORD-000090,2022-07-01 08:00:00,North,Service-Lite,Online,41.0,517.2,0.062,CUST-0519,19890.48
ORD-000091,2022-12-02 07:00:00,Central,Gadget-Y,Direct,30.0,15.13,0.246,CUST-0447,342.24
ORD-000092,2022-12-17 16:00:00,East,Service-Lite,Retail,36.0,448.01,0.147,CUST-0976,13757.49
ORD-000093,2022-06-11 10:00:00,South,Service-Lite,Online,42.0,203.76,0.299,CUST-0936,5999.1
ORD-000094,2023-01-10 04:00:00,Central,Gadget-X,Partner,44.0,751.52,0.232,CUST-0837,25395.36
ORD-000095,2022-05-01 03:00:00,Central,Gadget-Y,Retail,8.0,760.17,0.022,CUST-0209,5947.57
ORD-000096,2022-04-10 19:00:00,Central,Bundle-2,Retail,36.0,619.57,0.213,CUST-0334,17553.66
ORD-000097,2022-10-12 08:00:00,North,Bundle-2,Partner,7.0,427.46,0.298,CUST-0780,2100.54
ORD-000098,2022-09-23 07:00:00,West,Widget-A,Direct,47.0,317.12,0.105,CUST-0609,13339.65
ORD-000099,2022-02-28 05:00:00,Central,Service-Lite,Direct,31.0,829.18,0.262,CUST-0584,18969.98
ORD-000100,2022-12-13 23:00:00,Central,Gadget-Y,Retail,10.0,512.01,0.336,CUST-0076,3399.75
ORD-000101,2022-03-25 07:00:00,South,Widget-A,Direct,15.0,501.49,0.026,CUST-0406,7326.77
ORD-000102,2022-12-02 08:00:00,Central,Service-Lite,Online,44.0,122.29,0.231,CUST-0975,4137.8
ORD-000103,2022-01-04 01:00:00,East,Widget-A,Direct,32.0,226.19,0.355,CUST-0459,4668.56
ORD-000104,2022-11-29 00:00:00,East,Gadget-X,Direct,12.0,366.87,0.051,CUST-0883,4177.92
ORD-000105,2022-11-24 21:00:00,East,Service-Lite,Partner,41.0,701.85,0.108,CUST-0410,25668.06
ORD-000106,2022-11-22 03:00:00,West,Bundle-1,Partner,36.0,846.81,0.25,CUST-0847,22863.87
ORD-000107,2022-10-05 00:00:00,North,Gadget-Y,Partner,4.0,992.92,0.234,CUST-0827,3042.31
ORD-000108,2022-07-16 11:00:00,East,Bundle-1,Online,14.0,433.15,0.317,CUST-0622,4141.78
ORD-000109,2022-10-21 19:00:00,Central,Bundle-1,Direct,42.0,458.66,0.252,CUST-0814,14409.26
ORD-000110,2022-04-26 11:00:00,East,Gadget-Y,Partner,18.0,768.39,0.23,CUST-0048,10649.89
ORD-000111,2022-11-22 07:00:00,South,Widget-B,Direct,2.0,328.0,0.181,CUST-0374,537.26
ORD-000112,2022-08-20 12:00:00,North,Service-Lite,Online,30.0,545.1,0.031,CUST-0089,15846.06
ORD-000113,2022-07-11 05:00:00,East,Widget-A,Direct,45.0,680.24,0.236,CUST-0697,23386.65
ORD-000114,2022-07-30 16:00:00,West,Bundle-2,Retail,28.0,243.88,0.063,CUST-0293,6398.44
ORD-000115,2022-08-25 23:00:00,East,Gadget-Y,Direct,48.0,286.78,0.398,CUST-0532,8286.79
ORD-000116,2022-01-16 12:00:00,Central,Bundle-1,Direct,6.0,362.62,0.031,CUST-0842,2108.27
ORD-000117,2022-02-28 05:00:00,West,Service-Lite,Direct,33.0,581.9,0.03,CUST-0748,18626.62
ORD-000118,2022-04-13 06:00:00,,Gadget-Y,Direct,32.0,277.7,0.315,CUST-0666,6087.18
ORD-000119,2022-02-17 17:00:00,North,Bundle-2,Online,49.0,216.08,0.04,CUST-0050,10164.4
ORD-000120,2022-07-03 04:00:00,East,Bundle-1,Retail,26.0,158.0,0.162,CUST-0616,3442.5
ORD-000121,2022-10-06 12:00:00,North,Bundle-2,Retail,41.0,811.21,0.371,CUST-0336,20920.29
ORD-000122,2022-09-30 16:00:00,West,Widget-A,Partner,8.0,887.1,0.315,CUST-0989,4861.31
ORD-000123,2022-07-16 06:00:00,North,Gadget-Y,Direct,3.0,905.66,0.093,CUST-0336,2464.3
ORD-000124,2022-12-23 06:00:00,Central,Bundle-2,Partner,36.0,823.41,0.1,CUST-0749,26678.48
ORD-000125,2022-08-24 12:00:00,South,Bundle-1,Partner,1.0,145.91,0.237,CUST-0597,111.33
ORD-000126,2022-02-02 23:00:00,East,Gadget-Y,Direct,43.0,106.76,0.195,CUST-0336,3695.5
ORD-000127,2022-11-15 17:00:00,North,Widget-A,Online,2.0,504.16,0.047,CUST-0208,960.93
ORD-000128,2022-08-28 10:00:00,South,Gadget-X,Partner,34.0,526.2,0.063,CUST-0260,16763.68
ORD-000129,2022-09-22 11:00:00,Central,Service-Pro,Partner,23.0,735.48,0.321,CUST-0532,11485.99
ORD-000130,2022-08-24 13:00:00,South,Service-Lite,Online,32.0,230.64,0.138,CUST-0886,6361.97
ORD-000131,2022-08-19 15:00:00,East,Bundle-2,Partner,31.0,931.63,0.32,CUST-0979,19638.76
ORD-000132,2022-02-07 17:00:00,Central,Widget-A,Direct,22.0,316.82,0.076,CUST-0315,6440.32
ORD-000133,2022-08-22 00:00:00,West,Gadget-Y,Direct,24.0,582.02,0.24,CUST-0044,10616.04
ORD-000134,2022-11-28 05:00:00,North,Gadget-X,Direct,25.0,865.56,0.202,CUST-0221,17267.92
ORD-000135,2022-05-07 15:00:00,South,Bundle-2,Direct,34.0,528.2,0.131,CUST-0503,15606.2
ORD-000136,2022-09-09 04:00:00,South,Widget-B,Retail,35.0,756.01,0.243,CUST-0402,20030.48
ORD-000137,2022-01-13 20:00:00,South,Widget-B,Online,23.0,751.53,0.05,CUST-0139,16420.93
ORD-000138,2022-05-25 18:00:00,South,Gadget-X,Direct,18.0,792.11,0.343,CUST-0174,9367.49
ORD-000139,2022-07-01 23:00:00,East,Widget-A,Retail,3.0,812.93,0.297,CUST-0582,1714.47
ORD-000140,2023-02-14 11:00:00,South,Service-Lite,Partner,39.0,398.53,0.115,CUST-0267,13755.26
ORD-000141,2022-03-31 09:00:00,South,Service-Pro,Online,12.0,369.91,0.232,CUST-0241,3409.09
ORD-000142,2022-04-26 05:00:00,East,Service-Pro,Direct,22.0,805.45,0.361,CUST-0377,11323.02
ORD-000143,2022-06-20 05:00:00,South,Bundle-2,Direct,49.0,583.9,0.169,CUST-0902,23775.82
ORD-000144,2023-02-18 14:00:00,South,Gadget-Y,Direct,39.0,611.63,0.145,CUST-0843,20394.8
ORD-000145,2022-12-22 14:00:00,East,Gadget-X,Online,17.0,417.79,0.32,CUST-0318,4829.65
ORD-000146,2022-01-15 10:00:00,Central,Gadget-Y,Direct,24.0,209.59,0.0,CUST-0767,5030.16
ORD-000147,2022-04-08 11:00:00,East,Bundle-1,Partner,16.0,462.35,0.275,CUST-0958,5363.26
ORD-000148,2022-12-09 08:00:00,East,Service-Pro,Online,31.0,969.94,0.086,CUST-0281,27482.28
ORD-000149,2022-01-25 07:00:00,Central,Widget-B,Partner,8.0,297.95,0.278,CUST-0005,1720.96
ORD-000150,2022-12-23 12:00:00,West,Service-Lite,Retail,47.0,279.28,0.175,CUST-0232,10829.08
ORD-000151,2022-04-28 05:00:00,South,Service-Lite,Partner,49.0,139.47,0.008,CUST-0832,6779.36
ORD-000152,2023-01-18 08:00:00,South,Widget-B,Online,15.0,486.36,0.35,CUST-0107,4742.01
ORD-000153,2022-05-03 07:00:00,East,Service-Pro,Partner,12.0,295.64,0.219,CUST-0262,2770.74
ORD-000154,2022-06-30 23:00:00,East,Service-Pro,Partner,27.0,690.24,0.125,CUST-0953,16306.92
ORD-000155,2022-10-03 19:00:00,North,Widget-B,Partner,32.0,143.76,0.281,CUST-0202,3307.63
ORD-000156,2022-02-22 14:00:00,North,Widget-A,Direct,32.0,254.83,0.198,CUST-0479,6539.96
ORD-000157,2022-08-21 02:00:00,South,Service-Lite,Partner,3.0,71.22,0.014,CUST-0884,210.67
ORD-000158,2022-07-30 10:00:00,Central,Service-Pro,Partner,35.0,51.05,0.26,CUST-0847,1322.2
ORD-000159,2022-11-23 14:00:00,West,Service-Lite,Online,4.0,815.99,0.388,CUST-0305,1997.54
ORD-000160,2023-02-20 01:00:00,Central,Gadget-Y,Direct,17.0,906.81,0.089,CUST-0250,14043.77
ORD-000161,2022-10-04 19:00:00,North,Service-Pro,Retail,36.0,766.24,0.345,CUST-0584,18067.94
ORD-000162,2022-06-20 11:00:00,East,Bundle-2,Partner,44.0,866.5,0.248,CUST-0323,28670.75
ORD-000163,2022-06-19 07:00:00,East,Widget-B,Partner,32.0,95.72,0.031,CUST-0737,2968.09
ORD-000164,2022-06-24 03:00:00,East,Service-Lite,Direct,8.0,899.14,0.292,CUST-0676,5092.73
ORD-000165,2022-12-06 04:00:00,East,Widget-B,Retail,34.0,471.37,0.177,CUST-0419,13189.88
ORD-000166,2022-05-14 20:00:00,South,Widget-A,Retail,2.0,770.95,0.317,CUST-0410,1053.12
ORD-000167,2022-03-11 13:00:00,North,Bundle-2,Direct,12.0,619.59,0.254,CUST-0102,
ORD-000168,2022-05-20 06:00:00,Central,Widget-B,Partner,7.0,356.36,0.001,CUST-0694,2492.03
ORD-000169,2022-01-10 11:00:00,Central,Service-Lite,Retail,49.0,272.14,0.051,CUST-0922,12654.78
ORD-000170,2022-02-14 05:00:00,North,Service-Pro,Retail,19.0,126.94,0.141,CUST-0876,2071.79
ORD-000171,2022-02-07 12:00:00,East,Bundle-1,Direct,28.0,418.51,0.193,CUST-0647,9456.65
ORD-000172,2022-11-18 11:00:00,East,Service-Pro,Direct,39.0,499.15,0.373,CUST-0728,12205.71
ORD-000173,2022-10-28 23:00:00,West,Service-Lite,Online,48.0,983.27,0.329,CUST-0892,31669.16
ORD-000174,2022-10-18 07:00:00,Central,Bundle-2,Retail,49.0,46.91,0.321,CUST-0219,1560.74
ORD-000175,2022-07-12 10:00:00,East,Bundle-1,Direct,9.0,594.24,0.216,CUST-0767,4192.96
ORD-000176,2022-10-26 18:00:00,West,Service-Lite,Online,20.0,529.73,0.037,CUST-0104,10202.6
ORD-000177,2022-03-09 04:00:00,Central,Widget-B,Online,20.0,32.66,0.298,CUST-0774,458.55
ORD-000178,2023-01-11 06:00:00,Central,Widget-B,Online,40.0,336.43,0.035,CUST-0219,12986.2
ORD-000179,2022-07-28 18:00:00,South,Gadget-Y,Partner,17.0,428.69,0.037,CUST-0590,7018.08
ORD-000180,2023-01-26 20:00:00,Central,Service-Lite,Retail,12.0,499.32,0.102,CUST-0003,5380.67
ORD-000181,2022-03-05 11:00:00,East,Service-Lite,Retail,37.0,241.11,0.369,CUST-0007,5629.2
ORD-000182,2022-07-27 05:00:00,North,Bundle-1,Online,25.0,43.75,0.3,CUST-0649,765.62
ORD-000183,2022-10-18 03:00:00,West,Widget-A,Partner,37.0,300.89,0.031,CUST-0882,10787.81
ORD-000184,2022-07-26 12:00:00,Central,Widget-B,Direct,19.0,837.99,0.368,CUST-0111,10062.58
ORD-000185,2022-07-05 21:00:00,South,Widget-B,Online,24.0,809.77,0.313,CUST-0831,13351.49
ORD-000186,2022-03-11 06:00:00,East,Service-Pro,Partner,1.0,188.93,0.241,CUST-0755,143.4
ORD-000187,2022-06-08 18:00:00,South,Service-Lite,Direct,1.0,649.83,0.051,CUST-0727,616.69
ORD-000188,2022-04-10 11:00:00,North,Widget-A,Partner,1.0,924.4,0.128,CUST-0273,806.08
ORD-000189,2022-05-06 15:00:00,Central,Bundle-1,Partner,9.0,180.38,0.12,CUST-0878,1428.61
ORD-000190,2022-10-12 21:00:00,North,Gadget-X,Online,18.0,137.38,0.256,CUST-0609,1839.79
ORD-000191,2022-09-20 14:00:00,East,Service-Lite,Direct,3.0,31.91,0.235,CUST-0185,73.23
ORD-000192,2022-09-10 23:00:00,North,Bundle-1,Direct,8.0,180.68,0.111,CUST-0882,1285.0
ORD-000193,2022-05-31 18:00:00,West,Widget-A,Partner,42.0,815.8,0.124,CUST-0282,30014.91
ORD-000194,2023-02-04 20:00:00,Central,Bundle-1,Direct,42.0,815.84,0.207,CUST-0498,27172.37
ORD-000195,2022-02-06 12:00:00,West,Bundle-2,Partner,15.0,545.04,0.338,CUST-0157,5412.25
ORD-000196,2022-05-23 17:00:00,West,Bundle-2,Partner,47.0,340.22,0.05,CUST-0390,15190.82
ORD-000197,2022-02-19 04:00:00,Central,Widget-B,Direct,6.0,808.7,0.29,CUST-0646,3445.06
ORD-000198,2022-05-22 05:00:00,Central,Gadget-Y,Online,2.0,203.06,0.398,CUST-0898,244.48
ORD-000199,2023-02-05 18:00:00,Central,Widget-B,Online,18.0,148.45,0.3,CUST-0438,1870.47
ORD-000200,2022-06-02 14:00:00,South,Gadget-Y,Online,13.0,98.31,0.177,CUST-0618,1051.82
ORD-000201,2023-01-14 13:00:00,East,Bundle-2,Partner,4.0,852.8,0.293,CUST-0103,2411.72
ORD-000202,2022-07-26 06:00:00,Central,Bundle-1,Online,42.0,717.68,0.344,CUST-0239,19773.52
ORD-000203,2022-10-19 13:00:00,South,Bundle-1,Retail,48.0,628.33,0.307,CUST-0576,20900.77
ORD-000204,2022-07-10 14:00:00,West,Gadget-Y,Retail,14.0,730.18,0.005,CUST-0042,10171.41
ORD-000205,2022-04-21 18:00:00,North,Bundle-2,Partner,16.0,152.03,0.053,CUST-0339,2303.56
ORD-000206,2022-11-15 10:00:00,Central,Bundle-2,Partner,36.0,390.93,0.043,CUST-0060,13468.32
ORD-000207,2023-02-08 19:00:00,West,Bundle-1,Online,46.0,815.96,0.013,CUST-0491,37046.22
ORD-000208,2022-04-20 19:00:00,West,Bundle-1,Partner,15.0,917.59,0.286,CUST-0263,9827.39
ORD-000209,2022-11-21 11:00:00,Central,Service-Lite,Retail,34.0,517.95,0.107,CUST-0262,15726.0
ORD-000210,2022-04-19 19:00:00,South,Widget-A,Online,2.0,130.83,0.289,CUST-0462,186.04
ORD-000211,2022-10-26 16:00:00,East,Gadget-X,Partner,28.0,978.72,0.266,CUST-0161,20114.65
ORD-000212,2022-11-25 18:00:00,Central,Bundle-1,Retail,49.0,401.07,0.209,CUST-0759,15545.07
ORD-000213,2022-07-07 05:00:00,North,Gadget-X,Retail,24.0,325.79,0.024,CUST-0451,7631.3
ORD-000214,2022-11-04 01:00:00,Central,Widget-B,Direct,32.0,128.78,0.122,CUST-0902,3618.2
ORD-000215,2022-04-24 10:00:00,South,Bundle-2,Online,34.0,22.49,0.011,CUST-0226,756.25
ORD-000216,2022-02-03 00:00:00,East,Gadget-Y,Direct,31.0,607.63,0.364,CUST-0063,11980.03
ORD-000217,2022-02-10 03:00:00,East,Bundle-1,Retail,34.0,616.3,0.123,CUST-0405,18376.83
ORD-000218,2022-07-06 06:00:00,West,Gadget-X,Direct,44.0,241.89,0.038,CUST-0105,10238.72
ORD-000219,2023-01-12 02:00:00,Central,Gadget-X,Direct,1.0,170.36,0.001,CUST-0382,170.19
ORD-000220,2022-02-23 03:00:00,South,Gadget-X,Direct,44.0,532.72,0.245,CUST-0771,17696.96
ORD-000221,2022-07-09 21:00:00,North,Gadget-X,Online,45.0,441.04,0.248,CUST-0940,14924.79
ORD-000222,2022-10-21 08:00:00,East,Gadget-Y,Direct,45.0,310.61,0.398,CUST-0458,8414.42
ORD-000223,2022-03-26 07:00:00,West,Gadget-X,Retail,19.0,226.04,0.115,CUST-0187,3800.86
ORD-000224,2022-10-28 16:00:00,West,Bundle-1,Direct,29.0,860.7,0.019,CUST-0388,24486.05
ORD-000225,2022-05-08 11:00:00,West,Gadget-X,Direct,18.0,983.98,0.312,CUST-0287,12185.61
ORD-000226,2022-12-03 22:00:00,South,Gadget-Y,Partner,42.0,362.02,0.122,CUST-0121,13349.85
ORD-000227,2022-08-30 08:00:00,Central,Bundle-1,Direct,20.0,701.14,0.132,CUST-0792,12171.79
ORD-000228,2022-08-16 21:00:00,North,Gadget-Y,Partner,16.0,866.88,0.363,CUST-0731,8835.24
ORD-000229,2022-03-15 15:00:00,North,Widget-A,Online,34.0,36.66,0.23,CUST-0296,959.76
ORD-000230,2022-07-13 00:00:00,North,Widget-A,Direct,3.0,908.97,0.16,CUST-0486,2290.6
ORD-000231,2022-12-23 22:00:00,Central,Gadget-Y,Partner,19.0,504.15,0.38,CUST-0480,5938.89
ORD-000232,2022-01-09 03:00:00,North,Service-Lite,Online,11.0,561.17,0.106,CUST-0431,5518.55
ORD-000233,2022-11-13 01:00:00,West,Bundle-2,Online,19.0,544.46,0.009,CUST-0762,10251.64
ORD-000234,2022-07-25 07:00:00,Central,Widget-B,Partner,22.0,250.49,0.092,CUST-0698,5003.79
ORD-000235,2022-10-27 18:00:00,West,Service-Pro,Direct,4.0,784.41,0.018,CUST-0005,3081.16
ORD-000236,2022-10-04 08:00:00,Central,Gadget-X,Partner,43.0,735.0,0.163,CUST-0224,26453.38
ORD-000237,2022-06-30 00:00:00,North,Gadget-Y,Retail,21.0,104.82,0.332,CUST-0956,1470.41
ORD-000238,2022-05-09 14:00:00,East,Gadget-Y,Retail,18.0,567.15,0.39,CUST-0414,6227.31
ORD-000239,2022-09-19 09:00:00,East,Gadget-X,Retail,8.0,957.45,0.28,CUST-0463,5514.91
ORD-000240,2022-02-28 10:00:00,West,Widget-A,Retail,49.0,872.44,0.37,CUST-0761,26932.22
ORD-000241,2022-09-01 08:00:00,West,Widget-A,Retail,42.0,629.64,0.163,CUST-0759,22134.36
ORD-000242,2022-02-09 10:00:00,East,Service-Pro,Online,24.0,206.7,0.121,CUST-0566,4360.54
ORD-000243,2022-09-28 18:00:00,South,Widget-B,Partner,17.0,353.74,0.062,CUST-0920,5640.74
ORD-000244,2022-09-19 23:00:00,North,Gadget-X,Online,23.0,158.84,0.2,CUST-0590,2922.66
